StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Latitude_Subgroup,Longitude,Longitude_Subgroup,MAPmean,MAPmean_Subgroup,MATmean,MATmean_Subgroup,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,BacterialPrimer,Primer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
15,15C,"Chen et al., 2022 (c)",2022,Nong’an County,"44°05_N, 124°51_E",44.0833,La40,124.85,Lo-0-180,44.66666794,MAP600,5.133333206,MAT8,,Maize,"Maize, Peanut",Peanut,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Unknow,Non-Rhizosphere,Unknow,Unknow,No_retention,Fertilizer,D1-3,D5-10,,3,2,R2,6,V3-V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,9,9,1.144542437,0.013270792,,,,,NA,NA,,1.253,0.02599595,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
15,15D,"Chen et al., 2022 (c)",2022,Nong’an County,"44°05_N, 124°51_E",44.0833,La40,124.85,Lo-0-180,44.66666794,MAP600,5.133333206,MAT8,,Maize,"Maize, Peanut",Peanut,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Unknow,Non-Rhizosphere,Unknow,Unknow,Retention,Fertilizer,D1-3,D5-10,,3,2,R2,6,V3-V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,9,9,-0.552022299,0.012696737,,,,,NA,NA,,1.353,-0.013393057,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
16,16A,"Cui et al., 2024 (a)",2024,Urumqi,"87°28’E, 43°56’N",43.9333,La40,87.4667,Lo-0-180,15.58333302,MAP600,7.941666603,MAT8,,Cotton,"Cotton, Peanut",Peanut,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Malvaceae to Fabaceae,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Harvest,Rhizosphere,Unknow,Unknow,No_retention,Fertilizer,D1-3,D5-10,,3,2,R2,6,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,10,10,-0.028590053,0.01344099,,,,,NA,NA,,0.198723898,-0.078292926,,NA,NA,,0.144,-0.269332934,,NA,NA,,NA,NA,,6.59,0.327107037,,170.51,0.134000463,,NA,NA,,359.04,0.259613845
16,16B,"Cui et al., 2024 (a)",2024,Urumqi,"87°28’E, 43°56’N",43.9333,La40,87.4667,Lo-0-180,15.58333302,MAP600,7.941666603,MAT8,,Peanut,"Cotton, Peanut",Cotton,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Fabaceae to Malvaceae,Legume to Non-legume,AM to AM,C3 to C3,Annual to Annual,Consistent,Harvest,Rhizosphere,Unknow,Unknow,No_retention,Fertilizer,D1-3,D5-10,,3,2,R2,6,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,10,10,0.580253494,0.012418358,,,,,NA,NA,,0.119141531,0.433311362,,NA,NA,,0.135,-0.204794413,,NA,NA,,NA,NA,,9.3,-0.017354015,,233.88,-0.182013754,,NA,NA,,379.59,0.167195928
17,17A,"Cui et al., 2024 (b)",2024,Gongzhuling,"43°30’23’’N, 124°48’33’’E",43.5064,La40,124.8092,Lo-0-180,51.66666794,MAP600-1200,5.241666794,MAT8,,Soybean,"Maize, Maize, Soybean",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Fine,Tillage,No_retention,Fertilizer,D5-10,D20-30,,10,2,R2,30,V3-V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,0.294465994,0.339085199,,,,,7.61,0,,1.854408353,0.064206123,,0.166,0.080969063,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
17,17B,"Cui et al., 2024 (b)",2024,Gongzhuling,"43°30’23’’N, 124°48’33’’E",43.5064,La40,124.8092,Lo-0-180,51.66666794,MAP600-1200,5.241666794,MAT8,,Maize,"Maize, Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Tillage,No_retention,Fertilizer,D5-10,D20-30,,10,2,R2,30,V3-V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,-0.331308145,0.270587894,,,,,7.81,-0.025941792,,2.136890951,-0.077580125,,0.187,-0.038151766,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
24,24A,"Fan et al., 2020",2020,Cheng Mai county,"20°05_N, 110°10_E",20.08333,La20-40,110.16667,Lo-0-180,146.41667,MAP1200,23.8,MAT15,,Banana,"Banana, Pepper",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1-3,D5,,2,2,R2,2,V4,ITS1 + 5.8S + ITS2,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,6,6,0.557327716,0.036585226,,,,,5.82,0.133316593,,1.548723898,0.123178359,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,55.37,-0.074399758,,143.03,0.032128791,,110.71,-0.025987371,,36.35,0.296992107
24,24B,"Fan et al., 2020",2020,Cheng Mai county,"20°05_N, 110°10_E",20.08333,La20-40,110.16667,Lo-0-180,146.41667,MAP1200,23.8,MAT15,,Banana,"Banana, Sugarcane",Sugarcane,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Musaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Perennial to Perennial,Consistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1-3,D5,,2,2,R2,2,V4,ITS1 + 5.8S + ITS2,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,6,6,0.217167819,0.03562766,,,,,5.82,0.079249372,,1.548723898,0.10648348,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,55.37,-0.190190616,,143.03,0.019935595,,110.71,-0.058109947,,36.35,0.264794913
24,24C,"Fan et al., 2020",2020,Cheng Mai county,"20°05_N, 110°10_E",20.08333,La20-40,110.16667,Lo-0-180,146.41667,MAP1200,23.8,MAT15,,Banana,"Banana, Wax ground",Wax ground,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Cucurbitaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1-3,D5,,2,2,R2,2,V4,ITS1 + 5.8S + ITS2,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,6,6,0.211655211,0.032538319,,,,,5.82,0.066469645,,1.548723898,0.06172558,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,55.37,-0.108435493,,143.03,0.023219895,,110.71,-0.034459237,,36.35,0.296787671
24,24D,"Fan et al., 2020",2020,Cheng Mai county,"20°05_N, 110°10_E",20.08333,La20-40,110.16667,Lo-0-180,146.41667,MAP1200,23.8,MAT15,,Banana,"Banana, Pumpkin",Pumpkin,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Cucurbitaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1-3,D5,,2,2,R2,2,V4,ITS1 + 5.8S + ITS2,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,6,6,-0.503129766,0.034619745,,,,,5.82,0.011955736,,1.548723898,0.051106011,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,55.37,-0.112873669,,143.03,0.017190414,,110.71,0.072713398,,36.35,0.083865673
30,30A,"Gahagan et al., 2023",2023,Ottawa,"45°23_13.6_N, 75°43_15.6_W",45.387111,La40,-75.721,Lo-180-0,76.16666412,MAP600-1200,6.283333302,MAT8,,Maize,"Maize, Soybean, Wheat","Soybean, Wheat",,Liliopsida,Multiple,Liliopsida to Multiple,,Poaceae to Multiple,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Coarse,Tillage,Unknow,Fertilizer,D1,D5,,1,3,R3,3,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,12,24,0.255152833,0.005581233,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
30,30B,"Gahagan et al., 2023",2023,Ottawa,"45°23_13.6_N, 75°43_15.6_W",45.387111,La40,-75.721,Lo-180-0,76.16666412,MAP600-1200,6.283333302,MAT8,,Soybean,"Maize, Soybean, Wheat","Maize, Wheat",,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Coarse,Tillage,Unknow,Fertilizer,D1,D5,,1,3,R3,3,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,12,24,0.061910898,0.005819464,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
30,30C,"Gahagan et al., 2023",2023,Ottawa,"45°23_13.6_N, 75°43_15.6_W",45.387111,La40,-75.721,Lo-180-0,76.16666412,MAP600-1200,6.283333302,MAT8,,Wheat,"Maize, Soybean, Wheat","Maize, Soybean",,Liliopsida,Multiple,Liliopsida to Multiple,,Poaceae to Multiple,Non-legume to Legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Coarse,Tillage,Unknow,Fertilizer,D1,D5,,1,3,R3,3,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,4,24,0.001527026,0.016922489,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
30,30D,"Gahagan et al., 2023",2023,Ottawa,"45°23_13.6_N, 75°43_15.6_W",45.387111,La40,-75.721,Lo-180-0,76.16666412,MAP600-1200,6.283333302,MAT8,,Maize,"Maize, Soybean, Wheat","Soybean, Wheat",,Liliopsida,Multiple,Liliopsida to Multiple,,Poaceae to Multiple,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Coarse,No_tillage,Unknow,Fertilizer,D1,D5,,1,3,R3,3,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,12,24,-0.025169522,0.007691349,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
30,30E,"Gahagan et al., 2023",2023,Ottawa,"45°23_13.6_N, 75°43_15.6_W",45.387111,La40,-75.721,Lo-180-0,76.16666412,MAP600-1200,6.283333302,MAT8,,Soybean,"Maize, Soybean, Wheat","Maize, Wheat",,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Coarse,No_tillage,Unknow,Fertilizer,D1,D5,,1,3,R3,3,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,12,24,-0.050655126,0.005696778,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
30,30F,"Gahagan et al., 2023",2023,Ottawa,"45°23_13.6_N, 75°43_15.6_W",45.387111,La40,-75.721,Lo-180-0,76.16666412,MAP600-1200,6.283333302,MAT8,,Wheat,"Maize, Soybean, Wheat","Maize, Soybean",,Liliopsida,Multiple,Liliopsida to Multiple,,Poaceae to Multiple,Non-legume to Legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Coarse,No_tillage,Unknow,Fertilizer,D1,D5,,1,3,R3,3,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,4,24,-0.429845377,0.053792304,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
34,34B,"Guo et al., 2024",2024,"Harbin, China","45°44_27.7_N, 126°49_25.27_E",45.741028,La40,126.823686,Lo-0-180,43.83333206,MAP600,4.141666412,MAT8,,Sugar beet,"Sugar beet, Rubber dandelion",Rubber dandelion,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Amaranthaceae to Asteraceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Perennial,Inconsistent,Harvest,Non-Rhizosphere,Medium,Unknow,No_retention,Unknow,D1-3,D5,,1.5,2,R2,3,V3-V4,NA,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,0.129597393,0.111897172,,,,,8.01762,0.010929599,,1.553819767,0.203075766,,NA,NA,,0.144281,0.162634669,,NA,NA,,NA,NA,,211.283,-0.093216606,,169.163,0.415829175,,93.8009,0.092311046,,NA,NA
36,36D,"Han et al., 2024",2024,"Shihezi City, Xinjiang, China","44°18_23.51__N, 86°4_44.15""E",44.306531,La40,86.078931,Lo-0-180,12.75,MAP600,8.891666412,MAT8-15,,Cotton,"Cotton, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Malvaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Unknow,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,2,Full length,Full length,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,4,4,-0.057552291,0.076424139,,,,,7.84888,-0.008697549,,2.00303,0.017150872,,NA,NA,,0.187778,-0.317713104,,NA,NA,,NA,NA,,229.515,0.259186981,,175.319,-0.347697514,,253.677,-0.15393652,,NA,NA
36,36E,"Han et al., 2024",2024,"Shihezi City, Xinjiang, China","44°18_23.51__N, 86°4_44.15""E",44.306531,La40,86.078931,Lo-0-180,12.75,MAP600,8.891666412,MAT8-15,,Cotton,"Maize, Cotton",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Malvaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Unknow,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,2,Full length,Full length,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,4,4,0.056755842,0.059706257,,,,,7.84888,0.001970314,,2.00303,-0.127593083,,NA,NA,,0.187778,-0.112618737,,NA,NA,,NA,NA,,229.515,0.061330977,,175.319,-0.183295114,,253.677,0,,NA,NA
36,36F,"Han et al., 2024",2024,"Shihezi City, Xinjiang, China","44°18_23.51__N, 86°4_44.15""E",44.306531,La40,86.078931,Lo-0-180,12.75,MAP600,8.891666412,MAT8-15,,Cotton,"Cotton, Tomato",Tomato,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Malvaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Annual to Annual,Consistent,Unknow,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,2,Full length,Full length,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,4,4,0.200943879,0.070668238,,,,,7.84888,0.014500267,,2.00303,-0.045444843,,NA,NA,,0.187778,-0.514781362,,NA,NA,,NA,NA,,229.515,0.160043262,,175.319,-0.157392887,,253.677,-0.438955279,,NA,NA
38,38A,"He et al.,2023",2023,Songnen Plain,"44°33_N, 123°31_E",44.55,La40,123.51667,Lo-0-180,38.91666794,MAP600,6.258333683,MAT8,,Maize,"Maize, Alfalfa",Alfalfa,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Perennial,Consistent,Maturity stage,Rhizosphere,Medium,Unknow,Unknow,Unknow,D1-3,D5,,3,2,R2,3,V3-V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,-0.040970659,0.073650265,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
38,38B,"He et al.,2023",2023,Songnen Plain,"44°33_N, 123°31_E",44.55,La40,123.51667,Lo-0-180,38.91666794,MAP600,6.258333683,MAT8,,Alfalfa,"Alfalfa, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Perennial to Annual,Inconsistent,Maturity stage,Rhizosphere,Medium,Unknow,Unknow,Unknow,D1-3,D5,,3,2,R2,3,V3-V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,0.510887321,0.154075205,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
39,39D,"He et al., 2024",2024,"Jining City, Shandong Province, China","33°02_N, 116°23_E",33.033333,La20-40,116.383333,Lo-0-180,67.91666412,MAP600-1200,15.30000019,MAT15,,Garlic,"Garlic, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Amaryllidaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Consistent,Vegetative stage,Rhizosphere,Unknow,Unknow,Unknow,Unknow,D3-5,D5-10,,5,2,R2,10,V5-V7,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,8,8,-0.094666836,0.031332372,,,,,7.63,0,,1.231,-0.099869706,,NA,NA,,0.88,0.065957968,,3.09,-0.244403551,,12.08,0.041351656,,12.78,-1.139336479,,NA,NA,,NA,NA,,NA,NA
